movie_index,genres,keywords,production_year,title,director,writer,actors
319,Action Comedy Science Fiction,android housewife transformation,2004,the stepford wives,frankoz,"iralevin(book),paulrudnick ","nicolekidman,matthewbroderick,bettemidler,glennclose"
320,Action History War,prisoners of war wound somalia warlord famine,2001,black hawk down,ridleyscott,"markbowden(book),kennolan ","joshhartnett,ewanmcgregor,tomsizemore,ericbana"
321,Comedy,politics politician election campaign \u00a0north carolinam congressman,2012,the campaign,jayroach,"chrishenchy ,shawnharwell ,adammckay ,chrishenchy ,shawnharwell ","willferrell,zachgalifianakis,jasonsudeikis,dylanmcdermott"
322,Adventure Fantasy Action Thriller Science Fiction,clone taxi cyborg egypt future,1997,the fifth element,lucbesson,"lucbesson ,robertmarkkamen ,lucbesson ","brucewillis,garyoldman,ianholm,millajovovich"
323,Comedy Drama Romance,,2010,sex and the city 2,michaelpatrickking,"michaelpatrickking,candacebushnell(charactersfromthebookby),darrenstar(televisionseriescreator)","sarahjessicaparker,kristindavis,cynthianixon,kimcattrall"
324,Adventure Animation Comedy Family,gold horse sword fight,2000,the road to el dorado,"bibobergeron,donpaul,jeffreykatzenberg","terryrossio ,tedelliott ,kareykirkpatrick(additionaldialogue)","kevinkline,kennethbranagh,rosieperez,armandassante"
325,Animation Comedy Adventure Family,blue footed booby prehistoric times melting ice badger elephant seal,2012,ice age: continental drift,"stevemartino,mikethurmeier","michaelberg ,jasonfuchs ,michaelberg ,loriforte ","azizansari,joybehar,christophercampbell,alainchabat"
326,Romance Fantasy Family Drama,cinderella magic prince fairy tale kingdom,2015,cinderella,kennethbranagh,"chrisweitz ,charlesperrault ","cateblanchett,lilyjames,richardmadden,helenabonhamcarter"
327,Fantasy Drama,rape 1970s evidence tree afterlife,2009,the lovely bones,peterjackson,"franwalsh ,philippaboyens ,peterjackson ,alicesebold ","markwahlberg,rachelweisz,susansarandon,stanleytucci"
328,Animation Family,father son relationship harbor underwater fish tank great barrier reef,2003,finding nemo,"andrewstanton,leeunkrich(co-director)","andrewstanton(originalstoryby),andrewstanton ,bobpeterson ,davidreynolds ","albertbrooks,ellendegeneres,alexandergould,willemdafoe"
329,Adventure Fantasy Action,elves orcs middle-earth (tolkien) based on novel suspicion,2003,the lord of the rings: the return of the king,peterjackson,"j.r.r.tolkien ,franwalsh ,philippaboyens ,peterjackson ","noelappleby,aliastin,seanastin,davidaston"
330,Adventure Fantasy Action,elves orcs middle-earth (tolkien) hobbit based on novel,2002,the lord of the rings: the two towers,peterjackson,"j.r.r.tolkien ,franwalsh ,philippaboyens ,stephensinclair ,peterjackson ","bruceallpress,seanastin,johnbach,salabaker"
331,Adventure Fantasy,magic chosen one dark fantasy witch hunter evil witch,2014,seventh son,sergeibodrov,"charlesleavitt ,stevenknight ,mattgreenberg ,josephdelaney ","jeffbridges,benbarnes,juliannemoore,aliciavikander"
332,Adventure Fantasy Action Thriller,treasure buddhist monk planetary configuration angkor wat illuminati,2001,lara croft: tomb raider,simonwest,"sarab.cooper ,mikewerb ,michaelcolleary ,simonwest(adaptation),patrickmassett ,johnzinman ","angelinajolie,jonvoight,iainglen,noahtaylor"
333,Thriller Science Fiction Drama Mystery,artificial intelligence technology nanotechnology computer virus super computer,2014,transcendence,wallypfister,jackpaglen,"johnnydepp,rebeccahall,paulbettany,cillianmurphy"
334,Adventure Action Thriller Science Fiction,exotic island dna paleontology tyrannosaurus rex velociraptor,2001,jurassic park iii,joejohnston,"michaelcrichton ,peterbuchman,alexanderpayne,jimtaylor","samneill,williamh.macy,tã©aleoni,alessandronivola"
335,Thriller Action Drama Science Fiction,intelligence zoo cage dystopia golden gate bridge,2011,rise of the planet of the apes,rupertwyatt,"rickjaffa,amandasilver","andyserkis,karinkonoval,terrynotary,richardridings"
336,Adventure Family Fantasy,brother sister relationship family relationships single mother alternate reality mother child relationship,2008,the spiderwick chronicles,markwaters,"kareykirkpatrick ,davidberenbaum ,johnsayles ,tonyditerlizzi(books),hollyblack(books)","freddiehighmore,mary-louiseparker,nicknolte,sarahbolger"
337,Action Thriller,bomb cia russia escape courthouse,2013,a good day to die hard,johnmoore,"skipwoods,roderickthorp(certainoriginalcharactersby)","brucewillis,jaicourtney,sebastiankoch,maryelizabethwinstead"
338,Western History War,texas officer uprising alamo mexican,2004,the alamo,johnleehancock,"lesliebohem,stephengaghan,johnleehancock","dennisquaid,billybobthornton,jasonpatric,patrickwilson"
339,Action Adventure Animation Family,secret identity secret hero island wretch,2004,the incredibles,bradbird,bradbird,"craigt.nelson,hollyhunter,samuell.jackson,jasonlee"
340,Action Adventure,exotic island treasure map ship scalp,1995,cutthroat island,rennyharlin,"michaelfrostbeckner ,jamesgorman ,brucea.evans ,raynoldgideon ,robertking ,marcnorman ","geenadavis,matthewmodine,franklangella,maurychaykin"
341,Adventure Fantasy Family,monster greek mythology god poseidon \u00a0 lightning bolt,2010,percy jackson & the olympians: the lightning thief,chriscolumbus,"craigtitley ,rickriordan ","loganlerman,brandont.jackson,alexandradaddario,jakeabel"
342,Action Adventure Comedy Science Fiction,secret identity sun glasses undercover space marine illegal immigration,1997,men in black,barrysonnenfeld,"lowellcunningham(comic),edsolomon ,edsolomon ","tommyleejones,willsmith,lindafiorentino,vincentd'onofrio"
343,Animation Comedy Family,museum prosecution identity crisis airplane flea market,1999,toy story 2,"johnlasseter,ashbrannon(co-director),leeunkrich(co-director)","johnlasseter(originalstoryby),petedocter(originalstoryby),ashbrannon(originalstoryby),andrewstanton(originalstoryby),andrewstanton ,ritahsiao ,dougchamberlin ,chriswebb ","tomhanks,timallen,joancusack,kelseygrammer"
344,Action Thriller,runaway train,2010,unstoppable,tonyscott,markbomback,"denzelwashington,chrispine,rosariodawson,ethansuplee"
345,Action Comedy Crime Thriller,duringcreditsstinger,2001,rush hour 2,brettratner,"rosslamanna ,jeffnathanson","jackiechan,christucker,johnlone,ziyizhang"
346,Drama Horror Mystery Thriller,secret haunted house ouija board haunting missing girl,2000,what lies beneath,robertzemeckis,"clarkgregg ,sarahkernochan ,clarkgregg ","michellepfeiffer,katharinetowne,mirandaotto,jamesremar"
347,Animation Comedy Family,weather food science,2009,cloudy with a chance of meatballs,"phillord,christophermiller","phillord(writtenforthescreenby),christophermiller(writtenforthescreenby),judibarrett(book),ronbarrett(book),robgreenberg(additionalscreenplaymaterial)","billhader,annafaris,jamescaan,andysamberg"
348,Animation Comedy Family Adventure,ice age bridge insanity jungle dinosaur,2009,ice age: dawn of the dinosaurs,"carlossaldanha,mikethurmeier(co-director)","michaelberg ,peterackerman ,mikereiss ,yonibrenner ,jasoncartereaton ","eunicecho,karendisher,harrisonfahn,maileflanagan"
349,Adventure Comedy Drama Fantasy,himalaya photographer magazine iceland daydream,2013,the secret life of walter mitty,benstiller,"steveconrad ,steveconrad(screenstoryby),jamesthurber(basedontheshortstoryby)","benstiller,kristenwiig,jondaly,kathrynhahn"
350,Action Adventure Comedy Crime Thriller,martial arts female friendship millionaire agent,2000,charlie's angels,mcg,"ryanrowe,edsolomon,johnaugust,ivangoff(tvseries),benroberts(tvseries)","camerondiaz,drewbarrymore,lucyliu,billmurray"
351,Drama Thriller Crime,undercover boston police friends mafia,2006,the departed,martinscorsese,"williammonahan ,alanmak,felixchong","leonardodicaprio,mattdamon,jacknicholson,markwahlberg"
352,Animation Family Adventure,homeland musical training daughter cricket,1998,mulan,"tonybancroft,barrycook","robertd.sansouci(basedonastoryby),ritahsiao ,chrissanders ,philiplazebnik ,raymondsinger ,eugeniabostwick-singer ,deandeblois(storyco-head),johnsanford ,chriswilliams ,timhodge ,juliusaguimatang ,burnymattinson ,lornacook ,barryjohnson ,thomenriquez ,edgombert ,joegrant ,floydnorman ,lindawoolverton(additionalstorymaterial),jodiannjohnson(additionalstorymaterial),alanormsby(additionalstorymaterial),davidreynolds(additionalstorymaterial),dondougherty(additionalstorymaterial),jorgenklubien(additionalstorymaterial),denisrich(additionalstorymaterial),joeekers(additionalstorymaterial),theodorenewton(additionalstorymaterial),larryscholl(additionalstorymaterial),daanjippes(additionalstorymaterial),franknissen(additionalstorymaterial),jeffsnow(additionalstorymaterial)","miguelferrer,harveyfierstein,fredafohshen,juneforay"
353,Action Comedy,film making satire jungle movie star southeast asia,2008,tropic thunder,benstiller,"justintheroux ,benstiller ,etancohen ,benstiller ,justintheroux ","jeffkahn,robertdowneyjr.,anthonyruivivar,jackblack"
354,Thriller Crime Mystery Drama,rape journalist based on novel journalism hacker,2011,the girl with the dragon tattoo,davidfincher,"stevenzaillian ,stieglarsson ","danielcraig,rooneymara,christopherplummer,stellanskarsgã¥rd"
355,Action Thriller,bomb taxi riddle robbery detective,1995,die hard: with a vengeance,johnmctiernan,"jonathanhensleigh,roderickthorp(certainoriginalcharacters)","brucewillis,jeremyirons,samuell.jackson,grahamgreene"
356,Action Adventure Crime Mystery,detective scotland yard coffin black magic arrest,2009,sherlock holmes,guyritchie,"michaelrobertjohnson ,anthonypeckham ,simonkinberg ,lionelwigram ,michaelrobertjohnson ,arthurconandoyle(characters:sherlockholmes,dr.watson)","robertdowneyjr.,judelaw,rachelmcadams,markstrong"
357,Drama,betrayal vengeance,2016,ben-hur,timurbekmambetov,"lewwallace(basedonthenovelby),keithr.clarke ,johnridley ","jackhuston,tobykebbell,rodrigosantoro,nazaninboniadi"
358,Animation Family Adventure Science Fiction,sea atlantis animation underwater sea monster,2001,atlantis: the lost empire,"garytrousdale,kirkwise","tabmurphy ,kirkwise ,garytrousdale ,josswhedon ,brycezabel ,jackiezabel ,tabmurphy ,davidreynolds(additionalscreenplaymaterial)","coreyburton,claudiachristian,michaelj.fox,jamesgarner"
359,Adventure Animation Comedy Family,chipmunk cgi talking animal aftercreditsstinger duringcreditsstinger,2015,alvin and the chipmunks: the road chip,waltbecker,"rossbagdasarian ,janicekarman ,randimayemsinger,adamsztykiel","jasonlee,justinlong,matthewgraygubler,jessemccartney"
360,Drama Thriller History War,berlin suicide bomb assassination resistance,2008,valkyrie,bryansinger,"christophermcquarrie,nathanalexander","tomcruise,kennethbranagh,billnighy,tomwilkinson"
361,Comedy Action,new york israel middle east hairdresser ladykiller,2008,you don't mess with the zohan,dennisdugan,"adamsandler,robertsmigel,juddapatow","adamsandler,johnturturro,emmanuellechriqui,nickswardson"
362,Action Comedy Science Fiction,video game nerd alien attack 3d pixels,2015,pixels,chriscolumbus,"timherlihy ,timothydowling ,timherlihy ,patrickjean(shortfilm)","adamsandler,kevinjames,michellemonaghan,peterdinklage"
363,Drama Science Fiction Adventure,artificial intelligence prophecy prostitute android loss of mother,2001,a.i. artificial intelligence,stevenspielberg,"brianaldiss(shortstory""supertoyslastallsummerlong""),ianwatson ,stevenspielberg ","haleyjoelosment,franceso'connor,samrobards,jakethomas"
364,Thriller Fantasy Comedy Family Mystery,secret passage magic estate agent haunted house family vacation,2003,the haunted mansion,robminkoff,davidberenbaum,"eddiemurphy,terencestamp,nathanielparker,marshathomason"
365,Drama Science Fiction Mystery,based on novel nasa new mexico extraterrestrial technology prime number,1997,contact,robertzemeckis,"jamesv.hart ,michaelgoldenberg ,carlsagan(basedonthenovelby),carlsagan(basedonthestoryby),anndruyan(basedonthestoryby)","jenamalone,davidmorse,jodiefoster,geoffreyblake"
366,Action Science Fiction Thriller,killing human experimentation scientist invisible man science experiment,2000,hollow man,paulverhoeven,"garyscottthompson ,andreww.marlowe ,andreww.marlowe ","elisabethshue,kevinbacon,joshbrolin,kimdickens"
367,Crime Thriller,new york dictator africa destruction of a civilization assassination,2005,the interpreter,sydneypollack,"martinstellman ,brianward ,charlesrandolph ,scottfrank ,stevenzaillian ","nicolekidman,seanpenn,catherinekeener,jesperchristensen"
368,Adventure Family Fantasy,poison hermes poseidon demigod golden fleece,2013,percy jackson: sea of monsters,thorfreudenthal,"marcguggenheim ,rickriordan(baseduponthenovel""percyjacksonandtheolympians:theseaofmonsters""writtenby)","loganlerman,alexandradaddario,douglassmith,levenrambin"
369,Action Adventure Fantasy Thriller,riddle treasure medallion kenia alexander the great,2003,lara croft tomb raider: the cradle of life,jandebont,"deangeorgaris ,stevene.desouza ,jamesv.hart ","angelinajolie,gerardbutler,ciarã¡nhinds,chrisbarrie"
370,Action Adventure Comedy Crime Mystery,london england china magic secret society vigilante,2016,now you see me 2,jonm.chu,"edsolomon ,edsolomon ,peterchiarelli ,boazyakin(basedoncharacterscreatedby),edwardricourt(basedoncharacterscreatedby)","jesseeisenberg,markruffalo,woodyharrelson,davefranco"
371,Thriller Action Romance Science Fiction Adventure,berlin russia gas master thief the saint,1997,the saint,phillipnoyce,"lesliecharteris(character),jonathanhensleigh ,jonathanhensleigh ,wesleystrick ","valkilmer,elisabethshue,radeserbedzija,valeriynikolaev"
372,Action Crime Thriller,spy china cia cold war,2001,spy game,tonyscott,"michaelfrostbeckner ,michaelfrostbeckner ,davidarata ","robertredford,bradpitt,catherinemccormack,stephendillane"
373,Science Fiction,mars spacecraft space travel alien long take,2000,mission to mars,briandepalma,"lowellcannon ,jimthomas ,johnthomas ,jimthomas ,johnthomas ,grahamyost ","garysinise,timrobbins,doncheadle,connienielsen"
374,Animation Adventure Comedy Family,brazil pet bird musical canary,2011,rio,carlossaldanha,"carlossaldanha ,earlricheyjones ,toddr.jones ,donrhymer ,joshuasternin ,j.r.ventimilia ,samharper ","karendisher,jasonfricchione,sofiascarpasaldanha,lesliemann"
375,Comedy Science Fiction,android hologram freedom futuristic robot,1999,bicentennial man,chriscolumbus,"isaacasimov(shortstory""thebicentennialman""),isaacasimov ,robertsilverberg ,nicholaskazan ","robinwilliams,embethdavidtz,samneill,oliverplatt"
376,Science Fiction Action Drama Thriller,subway lava volcano volcanologist los angeles,1997,volcano,mickjackson,"jeromearmstrong ,jeromearmstrong ,billyray ","tommyleejones,anneheche,gabyhoffmann,doncheadle"
377,Crime Thriller Drama,new york terrorist anonymity northern ireland,1997,the devil's own,alanj.pakula,"kevinjarre ,davidaaroncohen ,vincentpatrick ,kevinjarre ","harrisonford,bradpitt,margaretcolin,rubã©nblades"
378,Drama History Thriller,submarine soviet union core melt north atlantic nuclear,2002,k-19: the widowmaker,kathrynbigelow,"louisnowra ,christopherkyle ","samspruell,peterstebbings,christiancamargo,romanpodhora"
379,Adventure Fantasy Action,gladiator repayment despot barbarian sword and sorcery,1982,conan the barbarian,johnmilius,"roberte.howard(basedonthecharactercreatedby),johnmilius,oliverstone","arnoldschwarzenegger,jamesearljones,maxvonsydow,sandahlbergman"
380,Romance Drama History,transporter netherlands world cup socially deprived family family's daily life,2005,cinderella man,ronhoward,"cliffhollingsworth ,akivagoldsman ,cliffhollingsworth ","russellcrowe,renã©ezellweger,paulgiamatti,craigbierko"
381,Fantasy Action Family,,2010,the nutcracker in 3d,andreykonchalovskiy,"andreykonchalovskiy ,chrissolimine ","richardphilipps,fernandadorogi,krisztadorogi,dánielmogács"
382,Drama History,horse race american dream racehorse great depression,2003,seabiscuit,garyross,"laurahillenbrand(book),garyross ","davidmccullough,jeffbridges,paulvincento'connor,chriscooper"
383,Action Adventure Drama,wife husband relationship tornado twister oklahoma metereologist,1996,twister,jandebont,"michaelcrichton,anne-mariemartin","helenhunt,billpaxton,caryelwes,jamigertz"
384,Adventure Drama,exotic island suicide attempt volleyball loneliness airplane crash,2000,cast away,robertzemeckis,williambroylesjr.,"paulsanchez,lariwhite,leonidciter,davidallenbrooks"
385,Animation Comedy,ocean fish zoo penguin tap dancing,2006,happy feet,"georgemiller,warrencoleman(co-director),judymorris(co-director)","georgemiller,johncollee,judymorris,warrencoleman","carlosalazraqui,lombardoboyar,jeffreygarcia,johnnya.sanchez"
386,Action Drama Thriller,berlin assassin based on novel amnesia sniper,2004,the bourne supremacy,paulgreengrass,"robertludlum ,tonygilroy ","mattdamon,frankapotente,briancox,juliastiles"
387,Action Thriller,prison corruption journalist white house hostage,1997,air force one,wolfgangpetersen,andreww.marlowe,"harrisonford,garyoldman,glennclose,wendycrewson"
388,Thriller Crime,prison pickpocket strip club con artist atlantic city,2001,ocean's eleven,stevensoderbergh,"georgeclaytonjohnson,jackgoldenrussell,harrybrown,charleslederer,tedgriffin ","georgeclooney,ceceliaannbirt,paull.nolan,carolflorence"
389,Adventure Action Thriller,number in title historical fiction musketeer 17th century 3d,2011,the three musketeers,paulw.s.anderson,"alexlitvak ,andrewdavies ,alexandredumas ","matthewmacfadyen,millajovovich,helengeorge,christianoliver"
390,Animation Comedy Family Fantasy,witch magic mummy vampire dracula,2012,hotel transylvania,genndytartakovsky,"peterbaynham ,robertsmigel ,todddurham ,danhageman ,kevinhageman ","adamsandler,andysamberg,selenagomez,kevinjames"
391,Comedy Family Fantasy Romance,poison queen fairy tale musical princess,2007,enchanted,kevinlima,billkelly,"amyadams,patrickdempsey,jamesmarsden,timothyspall"
392,Action Thriller,cia violence safe house rogue agent cape town south africa,2012,safe house,danielespinosa,davidguggenheim,"denzelwashington,ryanreynolds,verafarmiga,brendangleeson"
393,Comedy Family,london england prison release from prison women's prison society for the prevention of cruelty to animals,2000,102 dalmatians,kevinlima,"dodiesmith ,kristenbuckley ,brianregan ,kristenbuckley ,brianregan ,bobtzudiker ,noniwhite ","glennclose,gã©rarddepardieu,ioangruffudd,aliceevans"
394,Action Comedy,skyscraper thanksgiving billionaire parade fbi agent,2011,tower heist,brettratner,"adamcooper ,billcollage ,tedgriffin ,tedgriffin ,jeffnathanson ,ericehrenhaus(concept)","benstiller,eddiemurphy,caseyaffleck,alanalda"
395,Comedy Romance,holiday london england film making christmas party country house,2006,the holiday,nancymeyers,nancymeyers,"camerondiaz,katewinslet,judelaw,jackblack"
396,Action Drama Thriller,corruption washington d.c. helicopter falsely accused identity,1998,enemy of the state,tonyscott,davidmarconi,"willsmith,genehackman,jonvoight,lisabonet"
397,Comedy Romance,graduation ex husband woman director,2009,it's complicated,nancymeyers,nancymeyers,"merylstreep,stevemartin,alecbaldwin,johnkrasinski"
398,Crime Thriller,casino thief revenge heist las vegas,2007,ocean's thirteen,stevensoderbergh,"briankoppelman,davidlevien,georgeclaytonjohnson ,jackgoldenrussell ","georgeclooney,bradpitt,mattdamon,michaelmantell"
399,Adventure Animation Family,hunter mountains garage grizzly bear bunny,2006,open season,"rogerallers,jillculton,anthonystacchi(co-director)","stevebencich ,ronj.friedman ,natmauldin ,jillculton(screenstoryby),anthonystacchi(screenstoryby),stevemoore(fromanoriginalstoryby),johnb.carls(fromanoriginalstoryby),samharper(additionalstorymaterial),danwilson(additionalstorymaterial),davidgilbreth(additionalstorymaterial)","martinlawrence,ashtonkutcher,garysinise,debramessing"
400,Adventure Action Science Fiction,based on novel dystopia youth dystopic future caste system,2014,divergent,neilburger,"evandaugherty ,vanessataylor ,veronicaroth(basedonthenovelby)","shailenewoodley,theojames,ashleyjudd,jaicourtney"
401,War,winter sniper world war ii stalingrad,2001,enemy at the gates,jean-jacquesannaud,"jean-jacquesannaud,alaingodard","judelaw,edharris,rachelweisz,josephfiennes"
402,Adventure Action Comedy Thriller,hunter bounty bounty hunter fight amazon,2003,the rundown,peterberg,"r.j.stewart ,r.j.stewart ,jamesvanderbilt ","dwaynejohnson,seannwilliamscott,rosariodawson,christopherwalken"
403,Adventure Fantasy Action Comedy Family,magic movie in movie spoof magical object cartoon cat,1993,last action hero,johnmctiernan,"zakpenn ,adamleff ,shaneblack ,davidarnott ","arnoldschwarzenegger,f.murrayabraham,artcarney,charlesdance"
404,Drama History Romance,japan prostitute sister sister relationship brothel world war ii,2005,memoirs of a geisha,robmarshall,"robinswicord ,arthurgolden(book)","suzukaohgo,togoigawa,mako,samanthafuterman"
405,Action Crime Drama Thriller,car race car journey car mechanic auto car garage,2006,the fast and the furious: tokyo drift,justinlin,chrismorgan,"lucasblack,damienmarzette,trulam.marcus,zacherytybryan"
406,Drama Animation Family Comedy,holiday santa claus duringcreditsstinger woman director christmas,2011,arthur christmas,"sarahsmith,barrycook(co-director)","peterbaynham ,sarahsmith ","jamesmcavoy,hughlaurie,billnighy,jimbroadbent"
407,Fantasy Drama Mystery,life and death love at first sight broken engagement fireworks religion and supernatural,1998,meet joe black,martinbrest,"ronosborn ,jeffreno ,kevinwade ,bogoldman ,albertocasella(play),walterferris(play),maxwellanderson(earlierscreenplay),gladyslehman(earlierscreenplay)","bradpitt,anthonyhopkins,claireforlani,jakeweber"
408,Action Thriller Drama,terrorist fbi colombia firemen revenge,2002,collateral damage,andrewdavis,"ronaldroose ,davidgriffiths ,petergriffiths ,davidgriffiths ,petergriffiths ","arnoldschwarzenegger,francescaneri,eliaskoteas,cliffcurtis"
409,Drama Music,show business film making tap dancing movie in movie divorce,1979,all that jazz,bobfosse,"robertalanaurthur,bobfosse","royscheider,jessicalange,lelandpalmer,annreinking"
410,Adventure Fantasy Drama Comedy Science Fiction,attempted murder fairy tale black magic cockroach villainess,2012,mirror mirror,tarsemsingh,"marcklein ,jasonkeller ,melisawallack ","juliaroberts,lilycollins,armiehammer,nathanlane"
411,Action Adventure Comedy,whipping hipster underage girlfriend animated flashback character's point of view camera shot,2010,scott pilgrim vs. the world,edgarwright,"michaelbacall ,edgarwright ,bryanleeo'malley(onipressgraphicnovels)","michaelcera,kieranculkin,annakendrick,alisonpill"
412,Action Thriller Adventure Science Fiction,magnetic field center of the earth disaster film,2003,the core,jonamiel,"cooperlayne,johnrogers","christophershyer,raygalletti,eileenpedde,rekhasharma"
413,Fantasy Comedy Romance Science Fiction,alter ego mad scientist family dean duringcreditsstinger,2000,nutty professor ii: the klumps,petersegal,"jerrylewis ,steveoedekerk ,barryw.blaustein ,davidsheffield ,barryw.blaustein ,davidsheffield ,paulweitz ,chrisweitz ","eddiemurphy,janetjackson,larrymiller,johnales"
414,Mystery Adventure Comedy,amateur detective voodoo resort crime solving,2002,scooby-doo,rajagosnell,"jamesgunn ,craigtitley ,jamesgunn ,williamhanna ,josephbarbera ","freddieprinzejr.,sarahmichellegellar,matthewlillard,lindacardellini"
415,Action Science Fiction,usa corruption crime fighter judge metropolis,2012,dredd,petetravis,"johnwagner ,carlosezquerra ,alexgarland ","karlurban,rachelwood,andilemngadi,porteusxandau"
416,Comedy Drama Fantasy Romance,regret workaholic heart attack architect dying and death,2006,click,frankcoraci,"stevekoren,marko'keefe","adamsandler,katebeckinsale,christopherwalken,davidhasselhoff"
417,Horror Comedy Fantasy,monster halloween meteor buried alive cockroach,1982,creepshow,georgea.romero,stephenking(originalscreenplayby),"halholbrook,adriennebarbeau,fritzweaver,leslienielsen"
418,Comedy Family,torture aftercreditsstinger duringcreditsstinger 3d,2010,cats & dogs 2 : the revenge of kitty galore,bradpeyton,"ronj.friedman,stevebencich,johnrequa ,glennficarra ","jamesmarsden,nicknolte,christinaapplegate,kattwilliams"
419,Adventure Fantasy Science Fiction,adolescence based on novel loss of child fight chase,2008,jumper,dougliman,"davids.goyer ,jimuhls ,simonkinberg ,stevengould ","haydenchristensen,jamiebell,rachelbilson,dianelane"
420,Adventure Fantasy Science Fiction,auction northern ireland resignation superhero rebellion,2008,hellboy ii: the golden army,guillermodeltoro,"guillermodeltoro ,guillermodeltoro ,mikemignola ,mikemignola(comicbook)","ronperlman,selmablair,dougjones,johnalexander"
421,Crime Drama Mystery Thriller,california san francisco killing journalist newspaper,2007,zodiac,davidfincher,"jamesvanderbilt ,robertgraysmith(book)","jakegyllenhaal,markruffalo,anthonyedwards,robertdowneyjr."
422,Science Fiction,clone future murder cloning laser gun,2000,the 6th day,rogerspottiswoode,"cormacwibberley,mariannewibberley","arnoldschwarzenegger,michaelrapaport,tonygoldwyn,michaelrooker"
423,Fantasy Comedy,christianity moon responsability moses street gang,2003,bruce almighty,tomshadyac,"stevekoren ,marko'keefe ,stevekoren ,marko'keefe ,steveoedekerk ","jimcarrey,morganfreeman,jenniferaniston,philipbakerhall"
424,Thriller Adventure Action,tattoo martial arts sniper island mercenary,2010,the expendables,sylvesterstallone,"davecallaham ,sylvesterstallone ,davecallaham ","sylvesterstallone,jasonstatham,jetli,dolphlundgren"
425,Adventure Action Thriller,paris london england spy cia terrorist,1996,mission: impossible,briandepalma,"brucegeller(televisionseries),davidkoepp ,stevenzaillian ,davidkoepp ,roberttowne ","tomcruise,jonvoight,emmanuellebã©art,henryczerny"
426,Science Fiction Adventure Fantasy,hallucination dystopia female protagonist bow and arrow knife throwing,2012,the hunger games,garyross,"garyross ,suzannecollins ,billyray ,suzannecollins ","stanleytucci,wesbentley,jenniferlawrence,willowshields"
427,Comedy,sun glasses interpol undercover cop hangover duringcreditsstinger,2011,the hangover part ii,toddphillips,"craigmazin,scotarmstrong,toddphillips,jonlucas ,scottmoore ","bradleycooper,edhelms,zachgalifianakis,justinbartha"
428,Action Fantasy,holiday corruption double life dc comics crime fighter,1992,batman returns,timburton,"bobkane(batmancharacters),danielwaters ,samhamm ,danielwaters ","michaelkeaton,dannydevito,michellepfeiffer,christopherwalken"
429,Comedy Animation Family,squirrel eating and drinking vororte garden grizzly bear,2006,over the hedge,"timjohnson,kareykirkpatrick","lenblum ,lornecameron ,davidhoselton ,kareykirkpatrick ,michaelfry(comicstripcharacters),t.lewis(comicstripcharacters),chrispoche(additionaldialogue),mikedeseve(storyconsultant),ericforsberg(additionaldialogue)","brucewillis,garryshandling,stevecarell,wandasykes"
430,Animation Family,sister sister relationship extraterrestrial technology hawaii adoption mutation,2002,lilo & stitch,"deandeblois,chrissanders","chrissanders(basedonanideaby),chrissanders,deandeblois","daveighchase,chrissanders,tiacarrere,davidogdenstiers"
431,Comedy Family Fantasy,hero barn spider pig egg,2006,charlotte's web,garywinick,"susannahgrant ,kareykirkpatrick ,earlhamnerjr.(filmstory),e.b.white(book)","juliaroberts,stevebuscemi,johncleese,oprahwinfrey"
432,Action Drama Romance,usa president nasa metereologist space mission comet,1998,deep impact,mimileder,"brucejoelrubin,michaeltolkin","robertduvall,tã©aleoni,elijahwood,vanessaredgrave"
433,Action Comedy Crime Thriller,paris london england cia russia mi6,2013,red 2,deanparisot,"jonhoeber,erichhoeber,warrenellis ,cullyhamner ","brucewillis,johnmalkovich,mary-louiseparker,helenmirren"
434,Comedy Drama,prison american football prisoner blackmail supervisor,2005,the longest yard,petersegal,"alruddy ,tracykeenanwynn,sheldonturner ","adamsandler,chrisrock,burtreynolds,nelly"
435,Comedy Fantasy Family Music Animation,sequel chipmunk cruise ship overboard,2011,alvin and the chipmunks: chipwrecked,mikemitchell,"jonathanaibel,glennberger,rossbagdasarian ,janicekarman ","jasonlee,davidcross,jennyslate,justinlong"
436,Comedy,,2013,grown ups 2,dennisdugan,"fredwolf,adamsandler,timherlihy,adamsandler(basedoncharacterscreatedby),fredwolf(basedoncharacterscreatedby)","adamsandler,kevinjames,chrisrock,davidspade"
437,Action Comedy Thriller,dancing spy terrorist traitor airplane,2008,get smart,petersegal,"tomj.astle,mattember,melbrooks ,buckhenry ","stevecarell,annehathaway,dwaynejohnson,alanarkin"
438,Drama Comedy Romance,age difference ladykiller woman director,2003,something's gotta give,nancymeyers,nancymeyers,"jacknicholson,dianekeaton,keanureeves,francesmcdormand"
439,Drama Thriller Mystery,based on novel island hurricane investigation psychiatric hospital,2010,shutter island,martinscorsese,"laetakalogridis ,dennislehane ","leonardodicaprio,markruffalo,benkingsley,maxvonsydow"
440,Comedy Romance Drama,holiday romantic comedy dysfunctional family christmas,2008,four christmases,sethgordon,"mattallen ,calebwilson ,jonlucas ,scottmoore ,mattallen ,calebwilson ","vincevaughn,reesewitherspoon,robertduvall,sissyspacek"
441,Animation Comedy Family Science Fiction,inventor business man robot dishonesty,2005,robots,"chriswedge,carlossaldanha(co-director)","ronmita ,jimmcclain ,davidlindsay-abaire ,davidlindsay-abaire ,lowellganz ,babaloomandel ","paulaabdul,halleberry,lucillebliss,terrybradshaw"
